127.0.0.1 - - [29/Feb/2020:11:34:28 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [29/Feb/2020:11:34:29 +0530] "GET /CDE_IT/views/index.html HTTP/1.1" 200 5162
0:0:0:0:0:0:0:1 - - [29/Feb/2020:11:34:29 +0530] "GET /CDE_IT/style/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [29/Feb/2020:11:34:29 +0530] "GET /CDE_IT/style/bootsrtap.min.css HTTP/1.1" 200 159521
0:0:0:0:0:0:0:1 - - [29/Feb/2020:11:34:29 +0530] "GET /CDE_IT/img/logoe.png HTTP/1.1" 200 26308
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:08 +0530] "GET /CDE_IT/views/Methods.html HTTP/1.1" 200 2869
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:08 +0530] "GET /CDE_IT/views/CSS/bootsrtap.min.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:08 +0530] "GET /CDE_IT/views/CSS/IT18195644-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:08 +0530] "GET /CDE_IT/views/CSS/jquery.min.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:08 +0530] "GET /CDE_IT/views/print.png HTTP/1.1" 200 17163
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:20 +0530] "GET /CDE_IT/views/Methods.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:20 +0530] "GET /CDE_IT/views/CSS/IT18195644-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:20 +0530] "GET /CDE_IT/views/CSS/bootsrtap.min.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:20 +0530] "GET /CDE_IT/views/CSS/jquery.min.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:43 +0530] "GET /CDE_IT/views/Coupling.html HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:43 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:43 +0530] "GET /CDE_IT/views/CSS/bootsrtap.min.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:43 +0530] "GET /CDE_IT/views/CSS/jquery.min.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Feb/2020:13:53:43 +0530] "GET /CDE_IT/views/freelogo.png HTTP/1.1" 404 742
