127.0.0.1 - - [03/Mar/2020:11:10:30 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:10:32 +0530] "GET /CDE_IT/views/Control-structures.jsp HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:10:32 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:10:32 +0530] "GET /CDE_IT/style/CSS/bootsrtap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:10:32 +0530] "GET /CDE_IT/style/CSS/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:10:32 +0530] "GET /CDE_IT/img/logoe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:10:32 +0530] "GET /CDE_IT/views/print.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:10:51 +0530] "GET /CDE_IT/views/Control-structures.jsp HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:10:51 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:11:07 +0530] "GET /CDE_IT/views/Control-structures.jsp HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:11:07 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:11:17 +0530] "GET /CDE_IT/views/Control-structures.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:11:17 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:12:38 +0530] "GET /CDE_IT/views/Control-structures.jsp HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:12:38 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:13:53 +0530] "GET /CDE_IT/views/Coupling.html HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:13:53 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:14:22 +0530] "GET /CDE_IT/views/Coupling.jsp HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:14:22 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:16:34 +0530] "GET /CDE_IT/views/Coupling.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:18:00 +0530] "GET /CDE_IT/views/index.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:18:00 +0530] "GET /CDE_IT/style/bootsrtap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:18:00 +0530] "GET /CDE_IT/style/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:18:00 +0530] "GET /CDE_IT/img/green-settings.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:22:07 +0530] "GET /CDE_IT/views/Inheritance.jsp HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:22:22 +0530] "GET /CDE_IT/views/Coupling.jsp HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:22:36 +0530] "GET /CDE_IT/views/Coupling.jsp HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:22:42 +0530] "GET /CDE_IT/views/Coupling.jsp HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:23:55 +0530] "GET /CDE_IT/views/Inheritance.jsp HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:25:06 +0530] "GET /CDE_IT/views/Control_structures.jsp HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:25:06 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:25:11 +0530] "GET /CDE_IT/views/settings.jsp HTTP/1.1" 200 11571
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:25:40 +0530] "GET /CDE_IT/views/settings.jsp HTTP/1.1" 200 11571
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:25:41 +0530] "GET /CDE_IT/img/logoe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:25:41 +0530] "GET /CDE_IT/views/settings.jsp HTTP/1.1" 200 11571
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:25:42 +0530] "GET /CDE_IT/img/logoe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:11:26:16 +0530] "GET /CDE_IT/views/settings.jsp HTTP/1.1" 200 11600
